seed,n,fledgling,hatchling,scout,pathfinder,specialist,vanguard,raven,route_proven,route_proven_pct,ascendant,apex,obsidian,diamond,iron,bronze,silver,gold,platinum,mean_xp,mean_maturity,level_hist,league_hist,rank_hist,prestige_hist
20260721,5000,687,1055,1240,1051,559,408,0,2030,40.6,407,0,0,0,806,820,1472,1492,410,621.71,43.46,1:354|2:938|3:1370|4:1357|5:876|6:105,Bronze:820|Gold:1492|Iron:806|Platinum:410|Silver:1472,Hatchling:1055|Fledgling:687|Scout:1240|Pathfinder:1051|Specialist:559|Vanguard:408|Raven:0,ELIGIBLE_ASCENDANT_NOMINATION:407|NOT_ELIGIBLE:4593
20260722,5000,722,1062,1205,1046,564,401,0,2026,40.52,402,0,0,0,783,829,1520,1485,383,621.88,43.31,1:350|2:931|3:1388|4:1334|5:888|6:109,Bronze:829|Gold:1485|Iron:783|Platinum:383|Silver:1520,Hatchling:1062|Fledgling:722|Scout:1205|Pathfinder:1046|Specialist:564|Vanguard:401|Raven:0,ELIGIBLE_ASCENDANT_NOMINATION:402|NOT_ELIGIBLE:4598
20260723,5000,671,1086,1240,1022,576,405,0,2029,40.58,406,0,0,0,780,842,1464,1470,444,622.21,43.36,1:361|2:934|3:1381|4:1329|5:879|6:116,Bronze:842|Gold:1470|Iron:780|Platinum:444|Silver:1464,Hatchling:1086|Fledgling:671|Scout:1240|Pathfinder:1022|Specialist:576|Vanguard:405|Raven:0,ELIGIBLE_ASCENDANT_NOMINATION:406|NOT_ELIGIBLE:4594
20260724,5000,682,1090,1213,1042,563,410,0,2026,40.52,410,0,0,0,799,820,1474,1449,458,623.41,43.29,1:365|2:914|3:1402|4:1316|5:897|6:106,Bronze:820|Gold:1449|Iron:799|Platinum:458|Silver:1474,Hatchling:1090|Fledgling:682|Scout:1213|Pathfinder:1042|Specialist:563|Vanguard:410|Raven:0,ELIGIBLE_ASCENDANT_NOMINATION:410|NOT_ELIGIBLE:4590
20260725,5000,710,1054,1233,1033,560,410,0,2021,40.42,406,0,0,0,797,816,1450,1503,434,623.51,43.34,1:362|2:932|3:1378|4:1302|5:925|6:101,Bronze:816|Gold:1503|Iron:797|Platinum:434|Silver:1450,Hatchling:1054|Fledgling:710|Scout:1233|Pathfinder:1033|Specialist:560|Vanguard:410|Raven:0,ELIGIBLE_ASCENDANT_NOMINATION:406|NOT_ELIGIBLE:4594
